Company,Date,Sales,Raw Material Cost,Change in Inventory,Power and Fuel,Other Mfr. Exp,Employee Cost,Selling and admin,Other Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Dividend Amount,Sales,Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Operating Profit,Equity Share Capital,Reserves,Borrowings,Other Liabilities,Total,Net Block,Capital Work in Progress,Investments,Other Assets,Total,Receivables,Inventory,Cash & Bank,No. of Equity Shares,New Bonus Shares,Face value,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow,PRICE:,Adjusted Equity Shares in Cr
GAIL (India),2016-03-31 00:00:00,63161.56,,,,1041.79,6309.03,3043.15,9660.65,11211.65,738.03,34069.57,19510.99,6693.66,12801.33,2401.79,51168.14,18469.81,9853.15,,25954.76,16596.72,4193.47,12370.38,32698.33,505.64,73798.49,649587.25,38320.95,762212.33,3666.86,,193633.85,564911.62,762212.33,,,24488.85,2528186517.0,,2.0,-34435.37,-837.31,37815.13,2542.46,267.79,1011.28
GAIL (India),2017-03-31 00:00:00,73271.35,,,,1271.8,8508.22,3328.39,10747.28,12905.08,886.19,38041.58,23392.97,8078.12,15280.48,2818.8,75039.1,45349.33,32527.52,,41249.91,20967.38,3655.0,16811.41,29689.77,512.51,91281.44,741549.89,59000.32,892344.16,3999.7,,210777.11,677567.35,892344.16,,,33633.28,2562545717.0,,2.0,17281.59,-1146.38,-5892.97,10242.24,360.64,1025.02
GAIL (India),2018-03-31 00:00:00,85287.84,,,,1314.97,9197.15,3658.43,15361.71,16056.6,966.78,42381.48,28463.92,9903.08,18510.02,3373.63,78008.17,50530.03,37007.34,,43242.37,21243.11,3525.11,17257.87,27478.14,519.02,109080.11,944817.22,48769.82,1103186.17,4008.13,,238460.92,860717.12,1103186.17,,,97138.14,2595090267.0,,2.0,17214.38,-841.6,57377.66,73750.44,471.53,1038.04
GAIL (India),2019-03-31 00:00:00,105160.74,,,,1283.53,10454.75,3900.17,19217.82,18947.05,1220.67,53712.69,34318.16,11872.55,22332.43,4084.95,79433.61,62938.45,44957.74,,43691.51,17761.39,-251.48,17622.38,16495.16,544.66,153128.0,1080235.46,58897.59,1292805.71,4368.63,,289445.87,998991.21,1292805.71,,,39372.13,2723306610.0,,2.0,-62871.54,-1503.06,23130.69,-41243.91,579.73,1089.32
GAIL (India),2020-03-31 00:00:00,122189.29,,,,1293.44,12924.1,4192.15,27049.52,24878.97,1276.77,62137.42,38194.86,10898.59,27253.95,1370.82,81546.2,49689.62,35450.29,,44579.5,22727.37,5539.32,16474.85,31856.58,548.33,175810.38,1333041.45,71430.27,1580830.43,4775.65,,389304.95,1186749.83,1580830.43,,,62997.42,5483286460.0,,1.0,-16869.09,-1402.94,24394.5,6122.47,430.95,1096.66
GAIL (India),2021-03-31 00:00:00,128552.4,,,,1649.11,13682.35,4780.54,32344.53,27332.88,1385.01,59247.59,42796.15,10939.38,31833.21,3583.32,83001.72,52074.11,38455.02,,45414.21,23968.42,5340.98,17825.91,30927.61,551.28,209258.9,1511417.62,78278.83,1799506.63,5248.35,,438823.11,1355435.17,1799506.63,,,86648.17,5512776482.0,,1.0,42476.45,-1822.7,-7321.35,33332.4,746.83,1102.56
GAIL (India),2022-03-31 00:00:00,135936.41,,,,1772.27,15904.81,5406.79,33473.09,31758.99,1680.73,58584.33,50873.38,12722.48,38052.75,8595.52,85040.17,41306.79,27153.77,,46914.28,23972.87,5632.76,17656.61,43733.38,554.55,246771.62,1784969.53,90638.6,2122934.3,6432.07,,449263.86,1667238.37,2122934.3,,,118791.2,5545540976.0,,1.0,-11959.57,-2051.23,48124.02,34113.22,735.18,1109.11
GAIL (India),2023-03-31 00:00:00,170754.05,,,,2176.5,20031.36,6580.0,34254.44,33912.05,2345.47,77779.94,61498.39,15349.69,45997.11,10601.43,86779.34,47709.16,33489.42,,46986.21,25573.39,6288.82,18834.88,39070.18,557.97,288879.53,2139211.91,101783.03,2530432.44,8431.35,,511581.71,2010419.38,2530432.44,,,103917.93,5579742786.0,,1.0,20813.7,-2992.18,23940.56,41762.08,804.78,1115.95
GAIL (India),2024-03-31 00:00:00,283649.02,,,,3255.75,31050.07,87580.05,52309.67,124345.75,3092.08,154138.55,76568.6,11122.1,64062.04,14813.96,87371.87,64496.63,45683.1,,47708.51,20849.83,3759.4,16257.91,22875.24,759.69,455635.56,3107502.74,466296.27,4030194.26,12603.76,,1005681.63,3011908.87,4030194.26,,,165658.59,7596910662.0,,1.0,19069.34,16600.42,-3983.06,31686.7,723.95,1519.38
GAIL (India),2025-03-31 00:00:00,336367.43,,,,3943.56,34167.89,105188.45,43674.55,134548.5,3805.23,183894.2,96242.05,22801.88,70792.25,16834.84,86993.84,45160.88,31566.79,,46740.86,26658.89,6295.12,19610.67,41832.96,765.22,521024.17,3345503.8,524816.64,4392109.83,15257.94,,1186472.89,3190379.0,4392109.83,,,132227.37,7652221674.0,,1.0,127241.84,-3650.91,-102477.54,21113.39,914.1,1530.44
